,line,replicate,diet,substrate ,age,Unclassified,Actinobacteriota,Bacteroidota,Campylobacterota,Chloroflexota,Desulfobacterota_I,Firmicutes_A,Firmicutes_C,Firmicutes_D,Fusobacteriota,Patescibacteria,Proteobacteria
LDD10PR1,LD,1,P,Veg,D10,0.055194667,11.19602598,24.1370526,0.021228718,0,0,11.17479727,0,31.18923279,0,0,22.22646797
LDD10PR2,LD,2,P,Veg,D10,0.023547419,17.90781186,18.01377524,0.023547419,0,0.223700477,15.50597516,0,42.6973568,0,0,5.60428563
LDD10PR3,LD,3,P,Veg,D10,0.093664531,8.444794125,26.02375333,0,0,0,13.89981642,0,18.91274212,0.007493162,0,32.61773632
LDD5PR1,LD,1,P,Veg,D5,0.135761434,1.362295773,21.67969664,0,0,0,9.170918964,0,37.59187304,0.028088573,0,30.03136557
LDD5PR2,LD,2,P,Veg,D5,0.757025425,6.973809979,13.86732938,0,0.015293443,0,10.44924489,0,50.62894284,0.015293443,0,17.2930606
LDD5PR3,LD,3,P,Veg,D5,0.58075977,2.678327412,10.94561356,0,0,0,15.11341897,0,47.45832195,0,0,23.22355835
WTD10PR1,WT,1,P,Veg,D10,0.018902401,16.64671413,20.20036545,0,0,0,24.8755592,0,31.094449,0,0,7.164009829
WTD10PR2,WT,2,P,Veg,D10,0.18944776,22.80003789,5.37084399,0,0,0,28.7865871,0.028417164,36.26030122,0,0,6.564364876
WTD10PR3,WT,3,P,Veg,D10,0.234879624,17.93566908,12.72264631,0,0,0,46.9302538,0.019573302,11.86794546,0.019573302,0,10.26945912
WTD5PR1,WT,1,P,Veg,D5,5.197132616,0.742447517,2.790578597,0,0,0,24.78238607,0,57.04045059,0,0,9.447004608
WTD5PR2,WT,2,P,Veg,D5,0.211333751,1.31496556,3.216969317,0,0,0,34.55698184,0.023481528,52.10551033,0,0,8.570757671
WTD5PR3,WT,3,P,Veg,D5,0.266864344,1.067457376,2.446256486,0,0,0,29.28094885,0.059303188,57.68717569,0,0,9.19199407
LDD10PKMR1,LD,1,PKM,Veg,D10,0.13267627,24.88627748,17.9681577,0.416982563,0,0,13.36239575,0,26.01718474,0,0,17.2163255
LDD10PKMR2,LD,2,PKM,Veg,D10,0,21.93695813,19.8064386,5.598494522,0,0,12.07742456,0,27.08515357,0,0.141138517,13.3543921
LDD10PKMR3,LD,3,PKM,Veg,D10,0.019217465,12.66815282,28.05365516,6.69920824,0,0,14.89353524,0,15.53924206,0.007686986,0,22.11930202
LDD5PKMR1,LD,1,PKM,Veg,D5,0,0.296061327,0.031720856,0,0,0,9.251916468,0,41.79222839,0,0,48.62807296
LDD5PKMR2,LD,2,PKM,Veg,D5,0,0.447055818,0,0,0,0,12.93055733,0,31.40886448,0.012773023,0,55.20074935
LDD5PKMR3,LD,3,PKM,Veg,D5,0,0.477749745,0.048311772,0,0,0,19.4696441,0,31.30066026,0.037575823,0,48.6660583
WTD10PKMR1,WT,1,PKM,Veg,D10,0.363027087,10.50916876,14.84687704,0,0,0,13.51577772,0.031027956,20.1867883,0.027925161,0.021719569,40.49768842
WTD10PKMR2,WT,2,PKM,Veg,D10,0.105661706,26.58272431,14.97754689,0,0,0,19.91723166,0,15.53227085,0.035220569,0,22.84934402
WTD10PKMR3,WT,3,PKM,Veg,D10,0,15.60100466,14.11553642,0,0,0,24.51381414,0,25.45389307,0,0,20.3157517
WTD5PKMR1,WT,1,PKM,Veg,D5,0,0,0.064511233,0,0,0,6.200667881,0,57.08485124,0,0,36.64996964
WTD5PKMR2,WT,2,PKM,Veg,D5,0,1.798256749,0.160785309,0,0,0,22.15875434,0,41.816874,0,0,34.06532961
WTD5PKMR3,WT,3,PKM,Veg,D5,0.03887605,0.334765988,13.74268374,0,0,0,16.48560506,0,41.16541759,0.010798903,0,28.22185266
LDD10RIBR1,LD,1,RIB,Veg,D10,0.043033889,33.64174287,20.54330285,0.037654653,0,0,1.204948897,0,16.11081226,0,0,28.41850457
LDD10RIBR2,LD,2,RIB,Veg,D10,0.030582599,28.29400071,28.31438911,0.41796218,0,0,3.425251032,0,23.39059075,0.030582599,0,16.09664101
LDD10RIBR3,LD,3,RIB,Veg,D10,0.327998643,35.61612848,30.76966578,0.028275745,0,0,0.508963411,0,23.85907369,0,0.130068427,8.759825821
LDD5RIBR1,LD,1,RIB,Veg,D5,0,2.027480916,0.372519084,0,0,0,0.26259542,0,74.78473282,0.036641221,0.091603053,22.42442748
LDD5RIBR2,LD,2,RIB,Veg,D5,0,0.317717059,1.010917913,0,0,0,0.21373693,0,84.43186413,0,0,14.02576397
LDD5RIBR3,LD,3,RIB,Veg,D5,0,0.502397808,0.074217858,0,0,0,0.376798356,0,79.33318109,0.022836264,0,19.69056862
WTD10RIBR1,WT,1,RIB,Veg,D10,0,48.1,12.86,0,0,0,2.11,0,18.855,0.035,0.08,17.96
WTD10RIBR2,WT,2,RIB,Veg,D10,0,46.58704487,14.26557187,0,0,0,7.103757154,0,21.22833209,0,0,10.81529402
WTD10RIBR3,WT,3,RIB,Veg,D10,1.212633954,53.73660462,17.30118443,0,0,0,1.297236323,0,22.47602933,0.084602369,0,3.891708968
WTD5RIBR1,WT,1,RIB,Veg,D5,0.038270188,0.172215844,0.229621125,0,0,0,0.363566781,0,71.85227708,0,0,27.34404899
WTD5RIBR2,WT,2,RIB,Veg,D5,0,1.488132878,5.543611146,0,0,0,0.952742296,0,66.54019645,0,0,25.47531723
WTD5RIBR3,WT,3,RIB,Veg,D5,0,0.479859124,1.245872771,0,0,0,0.343385428,0,59.5157385,0,0,38.41514418
LDD10SBMR1,LD,1,SBM,Veg,D10,0.09044565,18.23713205,0.217891794,0.016444664,0,0,0.974346325,0,54.79361947,0,0,25.67012005
LDD10SBMR2,LD,2,SBM,Veg,D10,0,8.8168855,0.24707045,0.010588734,0,0,0.578850769,0,68.61499365,0,0,21.7316109
LDD10SBMR3,LD,3,SBM,Veg,D10,0.030827498,16.70410006,0.145329634,0.022019642,0,0,0.480028185,0,60.09600564,0,0,22.52168935
LDD5SBMR1,LD,1,SBM,Veg,D5,0,1.046190288,0.276352152,0,0,0,0.305961311,0,56.49427556,0,0,41.87722069
LDD5SBMR2,LD,2,SBM,Veg,D5,0.152821077,1.534323614,0.916926462,0,0,0,0.213949508,0,44.91105813,0,0,52.27092121
LDD5SBMR3,LD,3,SBM,Veg,D5,0.074096944,26.67489966,18.22167336,0,0,0,0.098795925,0,29.79314603,0,0,25.13738808
WTD10SBMR1,WT,1,SBM,Veg,D10,0,22.56215875,0.162447543,0,0,0,1.425928433,0,64.30215243,0.022562159,0,11.52475069
WTD10SBMR2,WT,2,SBM,Veg,D10,0.018673555,8.630294731,0.217858143,0,0,0,1.462761819,0,50.93834615,0,0,38.73206561
WTD10SBMR3,WT,3,SBM,Veg,D10,0.031651293,0.583288117,0.474769398,0,0,0,1.903599204,0,42.44438416,0.018086453,0,54.54422138
WTD5SBMR1,WT,1,SBM,Veg,D5,0.029896856,3.642433604,17.41491853,0,0,0,0.328865414,0,33.20544123,0,0,45.37844437
WTD5SBMR2,WT,2,SBM,Veg,D5,0,0.18136477,0.929494446,0,0,0,0.396735434,0,36.05758331,0,0,62.43482204
WTD5SBMR3,WT,3,SBM,Veg,D5,0.025455008,0.025455008,5.065546646,0,0,0,0.420007637,0,42.1534937,0,0,52.310042
