Feature ID	Taxon	Confidence
95df3a020ab0c0771994cd1d67778546	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium; s__Corynebacterium stationis	0.9267468165410576
c1f24f988ee87b7b21097275c7f00458	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Pediococcus; s__Pediococcus acidilactici	0.7259408832900273
30c0d626dc086eaa371b55e991f42333	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Weissella_A_338544	0.999999949362838
83410b194c0ebf7dfe72b3bb9bbe6aa2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595422; f__Burkholderiaceae_A_595422; g__Alcaligenes; s__Alcaligenes aquatilis	0.7179064475179637
1304f2804f74cde54f37705cd8896650	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Morganella; s__Morganella psychrotolerans	0.9772973391479538
8ef222e888236e213b0adac611b96c08	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_J_366884	0.9989093856212323
0b897cde4fd8c8c3da0ba099cce46965	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_H_360604	0.7222572520174656
f034240d85bdb3e1e45ca74cf55d489b	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_C	0.9851977973429172
0c8502358f1642cba633f300ca620df9	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lapidilactobacillus; s__Lapidilactobacillus dextrinicus	0.8946082337202091
8506399994a8bd611ef0949e6132dfb0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Weeksellaceae; g__Empedobacter_790298	0.9921376701332754
12e8b252acc9e1ec96fb19525d776306	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium; s__Scrofimicrobium minihominis	0.9994285876951872
